N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
70,0.2,0.14,100,24.72,0.04940044575106625,-1.4285718886302918,7.86596484638703e-9,1.0103243143427254,0.017472235489397657
70,0.2,0.16,100,25.17000000000001,0.04033946860424329,-1.250000469677222,9.392126130467485e-9,0.9757922771697747,0.016493039448685996
70,0.2,0.18,100,26.269999999999996,0.07634980634744878,-1.1111116037373672,8.45951627599406e-9,0.9765962047691172,0.01708687546094372
70,0.2,0.2,100,27.52,0.18228626615376928,-0.9940471253439167,0.004188484087681817,0.9761310535417942,0.019639263904586753
70,0.2,0.22,100,29.16,0.8723265073087804,-0.8948920757455625,0.005686763854008866,0.936302185768297,0.02678939572462875
70,0.2,0.24,100,29.429999999999993,0.859557673422438,-0.8027294379641471,0.0073935274160354955,0.8045710815121215,0.03804400633798029
70,0.2,0.26,100,27.460000000000008,0.9870290079963523,-0.7151947976062308,0.008096893735791876,0.6022448024760264,0.04375367681363535
70,0.2,0.28,100,24.64,1.1764971120004732,-0.6508485458211625,0.007518615776115003,0.43869724456790093,0.0438659635296613
70,0.2,0.3,100,24.56999999999999,1.5072387623958874,-0.6139448695260428,0.006798971014921211,0.38955267087855916,0.04199317283890538
70,0.2,0.32,100,28.659999999999993,3.963041888512032,-0.5594775458869135,0.0061684622127289096,0.26315316730820104,0.03889165678624154
70,0.2,0.34,100,16.05,1.2390428857498326,-0.5389066923234862,0.006919081637295606,0.1208596298922514,0.02896711557472371
70,0.2,0.36,100,16.959999999999997,1.3674365902237764,-0.514507212358712,0.0062307543544973,0.11995664553848386,0.02771361520370402
70,0.2,0.38,100,12.750000000000002,1.2020500166067316,-0.5130371230383348,0.0070511166865181085,0.07507703066329209,0.02263878755085473
70,0.2,0.4,100,9.760000000000002,0.7954567965336115,-0.4990719693358285,0.006318192222956384,0.032738167411222485,0.014366047142916444
