N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
20,0.2,0.1,100,26.130000000000006,0.11862426889855703,-2.014132662417125,0.00032425880252837336,0.9590599866664808,0.026607670992463407
20,0.2,0.2,100,38.080000000000005,0.5163351820300648,-1.0124676525858778,0.0011149866314067566,0.8392675933585282,0.03183939501038369
20,0.2,0.3,100,62.66999999999998,2.736068660902302,-0.7184752938944783,0.009818162151329569,0.7606326747613473,0.05278305554094311
20,0.2,0.4,100,34.32999999999999,3.1143867856297245,-0.7224849186343063,0.014753410705864977,0.8615218757260227,0.08520252805902592
20,0.2,0.5,100,27.950000000000003,2.2095465506741334,-0.6135273724933452,0.014707755343133774,0.531903640233836,0.07525570026296162
20,0.2,0.6,100,19.44,1.593567879275491,-0.587965688093674,0.014344821313219333,0.25849926981053445,0.05192025305838978
20,0.2,0.7,100,16.140000000000004,1.5042042092183834,-0.5568942233080988,0.014936727264938625,0.20051446125889272,0.04427447120272882
20,0.2,0.8,100,12.799999999999997,0.871779788708135,-0.5574056540468346,0.01692057846310347,0.16812277482668508,0.042269180544770316
20,0.2,0.9,100,11.270000000000005,1.144760131021236,-0.5682655893092979,0.014770466370965345,0.14253308179335503,0.03699408549069187
20,0.2,1.0,100,9.53,0.945639113686259,-0.5781172647838704,0.018914161373296587,0.1301029542312978,0.03222930489943393
