N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
60,0.2,0.14,1000,24.70499999999998,0.014973282846430158,-1.4285751708235148,2.058728972737689e-8,1.0083907897522488,0.0058035111952630565
60,0.2,0.16,1000,25.33199999999998,0.03887527861362909,-1.2496447158885988,0.00035906964711456235,0.993006027069681,0.005924145023422826
60,0.2,0.18,1000,26.394999999999968,0.031654019918123784,-1.1111149867011771,2.1455254016716385e-8,1.0080708898237558,0.005760565257245693
60,0.2,0.2,1000,27.697000000000042,0.0967809772504781,-0.9967694868189262,0.0009043294826077883,0.9739990650486621,0.006466871070673953
60,0.2,0.22,1000,28.711999999999993,0.1690965690061441,-0.8968290175022351,0.0015847754095212952,0.9234580370032557,0.008609239157230632
60,0.2,0.24,1000,29.586999999999957,0.2725265155938075,-0.8081117342435641,0.00204605793984558,0.8146276251396483,0.011242586249468505
60,0.2,0.26,1000,29.052999999999983,0.3414627180056231,-0.7322060186706043,0.0021556276387626823,0.6807368867660513,0.013065600309028074
60,0.2,0.28,1000,28.42799999999997,0.3929442978606782,-0.6725089146321024,0.00207910116115084,0.5742995196786801,0.01363419001594105
60,0.2,0.3,1000,26.508999999999997,0.59187011178909,-0.6206939352712115,0.0020363684787758,0.4254590501992588,0.01362901593566924
60,0.2,0.32,1000,23.77000000000002,0.5505780927681703,-0.5804549494763531,0.002007477594137571,0.298994415844406,0.01251554325476162
60,0.2,0.34,1000,20.519000000000016,0.5633142657184904,-0.5525588903401863,0.00197925495240208,0.1984392210768514,0.01086035906267966
60,0.2,0.36,1000,18.172000000000015,0.47060587107035307,-0.5374535266689969,0.0021904504634552248,0.14733403481129675,0.009538864532703556
60,0.2,0.38,1000,15.756999999999996,0.4637186495990709,-0.5192214581624116,0.0021588703600070145,0.09834222444907882,0.00790145416366388
60,0.2,0.4,1000,13.115999999999996,0.4795565853145158,-0.5216729522480407,0.002533615728657652,0.06741099514092873,0.006596908095887341
