N,α,λ,nsamples,t,t_err,E,E_err,Δ0,Δ0_err
110,0.1,0.05,1000,21.99600000000002,0.0019969947390987277,-2.0000083989317328,3.810861302392502e-8,1.0041782251476978,0.004212828893677122
110,0.1,0.06,1000,22.005000000000003,0.002231586874844885,-1.6666751546514145,3.798677888174756e-8,0.9970260951896214,0.004187616366886321
110,0.1,0.07,1000,22.276000000000025,0.014142984975740607,-1.4285800607688606,3.8494600850585244e-8,1.0001186597328746,0.004211088075892997
110,0.1,0.08,1000,22.967999999999993,0.008891290966730027,-1.250008814218464,3.8211718995823834e-8,0.9990809462537122,0.004180582265297732
110,0.1,0.09,1000,23.300000000000004,0.01903581788004818,-1.1111200235125982,3.971598075033286e-8,0.9997572157090444,0.004256713989711043
110,0.1,0.1,1000,24.159000000000017,0.05546887231408079,-0.9982878569154194,0.0007013359638272791,0.9950870928031548,0.004826066222193422
110,0.1,0.11,1000,25.361999999999988,0.13972286312010104,-0.9012918568167886,0.0013569783737764018,0.9531097721328678,0.006714490838768431
110,0.1,0.12,1000,27.452000000000016,0.3332037225493148,-0.8114479448541719,0.002078938914766455,0.8722417838156161,0.009828881319365079
110,0.1,0.13,1000,27.675000000000026,0.44068989389658453,-0.7173030518342635,0.0026975351711478915,0.668773009302157,0.013503344542703011
110,0.1,0.14,1000,26.715999999999994,0.41747290645936225,-0.6388678626174793,0.0026867599396950908,0.4789054374007061,0.01430296896853266
110,0.1,0.15,1000,23.845000000000006,0.6900936198837111,-0.5805208778249281,0.0023741795888792155,0.3029220795212117,0.012988778814218548
110,0.1,0.16,1000,19.29300000000001,0.49268640217778514,-0.5419439560813183,0.002002969956254122,0.15841763193532737,0.01029245365732594
110,0.1,0.17,1000,15.779000000000002,0.38775057641415506,-0.5217211093813411,0.001911943650165754,0.0881080724284826,0.007853672400607803
110,0.1,0.18,1000,12.364999999999991,0.3061331287079081,-0.5082159326306791,0.0019914825086392203,0.03442728504884311,0.004960229774355047
110,0.1,0.19,1000,10.083000000000016,0.22958401473059895,-0.5036000022176615,0.0019391893481503482,0.01905516198965698,0.0036175469682342767
110,0.1,0.2,1000,8.249999999999995,0.22454380401142215,-0.5013248526537599,0.00211500143498901,0.006017728305293655,0.001993200648780109
110,0.1,0.21,1000,6.724000000000003,0.1447853127454121,-0.4994857092204656,0.002085527497709589,0.001976323403805007,0.001135841447088787
110,0.1,0.22,1000,5.6159999999999926,0.1642422586288911,-0.4995277171606404,0.0021710930232001413,9.802478074417695e-6,4.4016205970757895e-6
110,0.1,0.23,1000,4.407000000000009,0.1152068731613858,-0.5004710518503562,0.002073162271321758,3.44917951120533e-6,2.4611014448736452e-6
110,0.1,0.24,1000,3.5639999999999983,0.10313360529207027,-0.5027865501906285,0.0021655920988504613,0.0006012098733603024,0.0006003320058963757
110,0.1,0.25,1000,2.9440000000000013,0.08238720563079954,-0.4988267754515155,0.002084943621491156,1.1460336036931406e-7,5.296469541972406e-8
110,0.1,0.26,1000,2.289999999999997,0.06948905474050379,-0.5030437200661944,0.0020876134513032395,1.5579504287478955e-7,1.0058014608049062e-7
110,0.1,0.27,1000,2.055000000000003,0.0662598322165501,-0.4988332368100604,0.0021295095735752306,2.6251042702904797e-8,9.704202966789677e-9
110,0.1,0.28,1000,1.6380000000000001,0.0474679808840571,-0.5016309662788276,0.0020890315834064103,8.088692393000505e-9,6.08005371330559e-9
110,0.1,0.29,1000,1.5310000000000012,0.04378305558039498,-0.497105599872926,0.0021563724553105832,5.841402471941086e-9,4.758052500751649e-9
110,0.1,0.3,1000,1.3839999999999988,0.03679535158002837,-0.49866284181825743,0.0021400472959126394,4.2569452651968697e-10,2.0192425745789814e-10
110,0.1,0.31,1000,1.2429999999999992,0.02940775094793575,-0.49897753613328566,0.0021887225018141845,1.1953906310119995e-9,7.420375587590863e-10
110,0.1,0.32,1000,1.142000000000002,0.02254649294999876,-0.49911060220847175,0.0020744872525243468,3.1247424703661974e-10,2.7513636636078385e-10
110,0.1,0.33,1000,1.1060000000000016,0.018577112507306107,-0.4978142945993594,0.002045315034394278,4.942145119519963e-11,2.7846070058118213e-11
110,0.1,0.34,1000,1.0870000000000015,0.017254817551302273,-0.49943351209659753,0.002209918909999482,4.084973523088271e-11,2.342208388925828e-11
110,0.1,0.35,1000,1.0490000000000008,0.011693405651722503,-0.4984223447828173,0.002112137666296555,2.8083877105737503e-11,2.7188516397637164e-11
